Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
KJ Coetzer (SCOT),2008-2021,70,68,2,1495,89,22.65,1254,119.21,-,6,4,158,48
DPMD Jayawardene (SL),2006-2014,55,55,8,1493,100,31.76,1121,133.18,1,9,4,173,33
Ahmed Shehzad (PAK),2009-2019,59,59,2,1471,111*,25.8,1282,114.74,1,7,2,157,33
E Lewis (WI),2016-2022,53,52,3,1465,125*,29.89,964,151.97,2,10,4,108,111
SR Watson (AUS),2006-2016,58,56,6,1462,124*,29.24,1006,145.32,1,10,3,115,83
TP Ura (PNG),2015-2023,49,48,7,1447,107*,35.29,920,157.28,1,12,4,106,87
Fakhar Zaman (PAK),2017-2023,76,69,3,1433,91,21.71,1118,128.17,-,8,6,143,48
Shahid Afridi (ICC/PAK),2006-2018,99,91,12,1416,54*,17.92,944,150,-,4,8,103,73
KC Sangakkara (SL),2006-2014,56,53,9,1382,78,31.4,1156,119.55,-,8,2,139,20
Asghar Afghan (AFG),2010-2021,75,68,5,1382,62,21.93,1247,110.82,-,4,5,87,69
MD Shanaka (SL),2015-2023,88,83,18,1351,74*,20.78,1109,121.82,-,5,10,96,68
II Selemani (TAN),2021-2023,57,56,4,1350,81,25.96,881,153.23,-,7,6,148,77
CR Ervine (ZIM),2010-2023,65,64,4,1349,68*,22.48,1274,105.88,-,8,3,133,28
HH Pandya (IND),2016-2023,92,71,18,1348,71*,25.43,964,139.83,-,3,3,96,69
Ahmed Faiz (MAL),2019-2023,62,54,6,1345,105*,28.02,1059,127,1,6,4,104,55
DS Airee (NEP),2018-2023,53,46,11,1344,110*,38.4,948,141.77,1,7,-,104,52
R Sandaruwan (KUW),2019-2023,45,45,2,1338,103,31.11,905,147.84,1,8,5,117,76
MS Chapman (HKG/NZ),2014-2023,59,53,10,1329,104*,30.9,1001,132.76,1,7,3,113,49
HM Amla (SA/World),2009-2018,44,44,6,1277,97*,33.6,967,132.05,-,8,2,146,26
MR Marsh (AUS),2011-2023,49,47,9,1272,92*,33.47,955,133.19,-,8,2,110,53
BKG Mendis (SL),2016-2023,55,55,2,1270,79,23.96,950,133.68,-,12,5,100,60
Nizakat Khan (HKG),2014-2023,71,69,1,1269,81,18.66,1080,117.5,-,5,7,118,33
GC Wilson (IRE),2008-2020,81,68,8,1268,65*,21.13,1212,104.62,-,3,4,108,20
Babar Hayat (HKG),2014-2023,52,52,8,1259,122,28.61,970,129.79,1,7,4,86,69
DJ Bravo (WI),2006-2021,91,74,17,1255,66*,22.01,1091,115.03,-,4,5,73,55
DP Conway (NZ),2020-2023,41,38,8,1248,99*,41.6,967,129.05,-,9,-,119,32
BN Cooper (NED),2013-2021,58,55,11,1239,91*,28.15,993,124.77,-,9,7,118,38
CS MacLeod (SCOT),2009-2022,64,61,9,1238,74,23.8,1115,111.03,-,7,8,107,23
Soumya Sarkar (BAN),2015-2022,72,72,3,1212,68,17.56,990,122.42,-,5,11,119,46
Riazat Ali Shah (UGA),2019-2023,54,47,14,1207,98*,36.57,924,130.62,-,4,3,84,56
NLTC Perera (ICC/SL/World),2010-2021,84,74,22,1204,61,23.15,794,151.63,-,3,8,88,64
R Satheesan (ROM),2019-2023,38,36,5,1197,99*,38.61,770,155.45,-,9,2,121,61
MG Erasmus (NAM),2019-2023,52,50,13,1194,100*,32.27,972,122.83,1,7,2,93,43
AR Patwa (TAN),2021-2023,47,47,4,1178,79,27.39,961,122.58,-,6,3,140,37
Yuvraj Singh (IND),2007-2017,58,51,9,1177,77*,28.02,863,136.38,-,8,1,77,74
KP Pietersen (ENG),2005-2013,37,36,5,1176,79,37.93,831,141.51,-,7,1,119,32
O Tuyisenge (RWN),2021-2023,67,66,4,1170,100*,18.87,1096,106.75,1,3,10,123,28
RR Patel (KENYA),2008-2023,63,53,14,1162,73*,29.79,843,137.84,-,6,2,83,69
S Davizi (CZK-R),2019-2023,31,31,3,1149,115*,41.03,827,138.93,3,6,1,124,40
Muhammad Tanveer (QAT),2019-2023,43,39,12,1149,88*,42.55,851,135.01,-,9,1,79,69
AD Mathews (SL),2009-2021,78,63,18,1148,81*,25.51,975,117.74,-,5,1,73,38
MS Wade (AUS),2011-2023,80,61,19,1146,80,27.28,848,135.14,-,3,1,91,45
A Vala (PNG),2015-2023,53,51,9,1120,93*,26.66,932,120.17,-,7,-,103,34
TL Seifert (NZ),2018-2023,50,47,6,1110,88,27.07,811,136.86,-,8,3,93,52
MM Ali (ENG),2014-2023,78,67,16,1109,72*,21.74,771,143.83,-,7,9,84,60
SS Iyer (IND),2017-2023,51,47,11,1104,74*,30.66,811,136.12,-,8,4,90,44
Zeeshan Maqsood (OMA),2015-2023,53,43,8,1100,102*,31.42,903,121.81,1,5,3,112,40
P Nissanka (SL),2021-2023,42,41,1,1098,75,27.45,979,112.15,-,9,4,102,24
VP Thamotharam (MLT),2020-2023,51,49,7,1097,104*,26.11,749,146.46,1,6,2,81,64
Afif Hossain (BAN),2018-2023,66,61,9,1094,77*,21.03,908,120.48,-,3,6,79,38
IA Karim (KENYA),2013-2023,50,46,14,1083,71*,33.84,1060,102.16,-,7,2,96,15
R Powell (WI),2017-2023,63,53,10,1082,107,25.16,775,139.61,1,4,2,61,70
SPD Smith (AUS),2010-2023,65,53,11,1079,90,25.69,862,125.17,-,5,1,94,25
WTS Porterfield (IRE),2008-2018,61,59,6,1079,72,20.35,971,111.12,-,3,5,120,23
Jatinder Singh (OMA),2015-2023,50,50,7,1078,73*,25.06,924,116.66,-,5,3,108,21
HE van der Dussen (SA),2018-2023,43,39,8,1071,94*,34.54,829,129.19,-,7,1,68,48
DJ Mitchell (NZ),2019-2023,56,53,10,1069,72*,24.86,779,137.22,-,5,2,70,41
AK Markram (SA),2019-2023,37,33,6,1063,70,39.37,711,149.5,-,9,1,91,44
LD Chandimal (SL),2010-2022,68,61,7,1062,66*,19.66,1025,103.6,-,6,-,90,22
RP Burl (ZIM),2018-2023,69,63,24,1052,57*,26.97,892,117.93,-,2,1,69,44
HT Tector (IRE),2019-2023,64,58,10,1045,64*,21.77,866,120.66,-,3,2,77,27
Rahmanullah Gurbaz (AFG),2019-2023,43,43,0,1043,87,24.25,775,134.58,-,5,4,82,61
MH Cross (SCOT),2013-2023,65,54,8,1038,66*,22.56,898,115.59,-,5,5,105,25
E Dusingizimana (RWN),2021-2023,58,57,3,1018,66*,18.85,950,107.15,-,4,5,103,35
LJ Tucker (IRE),2016-2023,59,55,8,1013,94*,21.55,820,123.53,-,6,6,93,25
Samiullah Shinwari (AFG),2010-2022,65,56,10,1013,61,22.02,858,118.06,-,2,2,76,37
Hazratullah Zazai (AFG),2016-2023,38,38,3,1007,162*,28.77,756,133.2,1,3,3,97,57
Rohan Mustafa (UAE),2014-2023,58,53,5,1006,77,20.95,827,121.64,-,4,7,108,27
W Madhevere (ZIM),2020-2023,57,54,7,999,73*,21.25,825,121.09,-,7,5,114,14
Zubaidi Zulkifle (MAL),2019-2023,46,45,2,996,96,23.16,643,154.89,-,3,5,101,51
Razmal Shigiwal (Aut),2019-2023,39,35,5,990,95*,33,725,136.55,-,6,2,81,39
J Charles (WI),2011-2023,44,43,0,988,118,22.97,765,129.15,1,4,5,104,45
Kamran Akmal (PAK),2006-2017,58,53,6,987,73,21,825,119.63,-,5,7,100,31
RR Pant (IND),2017-2022,66,56,12,987,65*,22.43,781,126.37,-,3,3,86,37
CL White (AUS),2007-2014,47,44,14,984,85*,32.8,740,132.97,-,5,3,71,44
GC Smith (SA),2005-2011,33,33,2,982,89*,31.67,770,127.53,-,5,1,123,26
V Aravind (UAE),2020-2023,45,40,4,980,97*,27.22,863,113.55,-,5,3,98,22
BA King (WI),2019-2023,40,38,3,977,85*,27.91,754,129.57,-,7,3,106,37
Sabbir Rahman (BAN),2014-2022,48,47,5,977,80,23.26,819,119.29,-,4,3,92,29
Shaiman Anwar (UAE),2014-2019,32,32,3,971,117*,33.48,770,126.1,1,6,1,75,43
ADS Fletcher (WI),2008-2021,54,52,7,950,84*,21.11,853,111.37,-,6,7,66,51
AP Rajeevan (TAN),2022-2023,45,42,7,943,70,26.94,829,113.75,-,6,-,90,16
BA Pai (GIBR),2019-2023,32,32,7,940,107*,37.6,800,117.5,1,5,1,86,15
BRM Taylor (ZIM),2006-2021,45,45,6,934,75*,23.94,790,118.22,-,6,5,93,24
G Gambhir (IND),2007-2012,37,36,2,932,75,27.41,783,119.02,-,7,2,109,10
K Bhurtel (NEP),2021-2023,29,29,4,915,104*,36.6,693,132.03,1,7,-,95,37
SJ Myburgh (NED),2012-2022,45,44,2,915,71*,21.78,799,114.51,-,5,8,100,28
MP Stoinis (AUS),2015-2023,57,47,17,915,78,30.5,627,145.93,-,2,2,75,43
